,item,level,name,quantity,unit
0,544950,1,Boite Petri stackable,6000.0,/PC
1,6374R,1,VRAC MRSA SELECT 2,108.0,L
2,707029,1,FILM GLD PET20µ M.X850 CAO CSO,1.8,KG
3,860229,1,COFFRET PETRI 193X193X82,300.0,/PC
4,6374F,2,MRSA II SEC INCOMPLET,1.44828,KG
5,704034,2,LECITHINE SOJA DESHUILEE/20KG,0.001944,KG
6,801518,2,TWEEN 20/1L,0.013607999999999997,L
7,620037,2,SALMON PHOSPHATE TOLUIDIN*,2.916,G
8,800461,2,DIMETHYLSULFOXIDE/1L,0.060264000000000005,L
9,800295,2,AZTREONAM/25G,0.19440000000000002,GAI
10,563250,2,FILTRE MILLIPAK 100-MPGL10CA3,1.0,/PC
11,801554,2,AMPHOTERICINE B/100G,0.13608,GAI
12,800422,2,ACIDE DESOXYCHOLIQUE/100G,0.1458,G
13,800232,2,COLISTINE SULFATE 19000 UI/MG,0.2916,GAI
14,620349,2,DEFER0XAMINE*,1.1664,G
15,6374N,2,CEFOTETAN  CTL,0.056376,GAI
16,6374P,2,CEFPODOXIME CTL (soluble eau),0.023327999999999998,GAI
17,719014,3,PYRUVATE SODIUM/50KG,0.00025636293936,KG
18,712014,3,CHLORURE LITHIUM/5KG*,0.0012779304098399999,KG
19,701011,3,AGAR ROKO ATFSTD /25KG*,0.0038337912295200002,KG
20,716043,3,PEPTONE CASEINE PLUS CAO CVO,0.00204507708444,KG
21,716009,3,PEPTONE DE SOJA/25KG,0.00012818146968,KG
22,705004,3,EXTRAIT LEVURE SANS SEL/25KG*,0.0012779304098399999,KG
23,705006,3,EXTRAIT VIANDE M1*,0.0012779304098399999,KG
24,719000,3,CHLORURE SODIUM/25KG,0.0051117216393599995,KG
25,507207,3,SILICE/10KG,0.0038337912295200002,KG
26,767004,3,FUTS 100 LITRES      UN,1.0,/PC
27,800294,3,CEFOTETAN DISODIUM STERIL/200G,2.9428272e-05,GAI
28,764029,3,F.NAL60ML L.O.TRA.STER CAO-CSO,1.0,/PC
29,764031,3,CAPS.TRANSP.NAL 60 ML L.O CAO,1.0,/PC
30,800902,3,CEFPODOXIME SOLUBLE  EAU/1G,5.0388479999999996e-06,GAI
31,620895,4,PEPTONE CASEINE PLUS CAO CVO,2.887798133856444e-06,KG
32,620899,4,PEPTONE DE SOJA/25KG,1.1344829155498079e-08,KG
33,620893,4,EXTRAIT LEVURE SANS SEL/25KG*,1.1276176791737992e-06,KG
