,item,level,name,quantity,unit
0,544950,1,Boite Petri stackable,12000.0,/PC
1,6374R,1,VRAC MRSA SELECT 2,216.0,L
2,707029,1,FILM GLD PET20µ M.X850 CAO CSO,3.6,KG
3,860229,1,COFFRET PETRI 193X193X82,600.0,/PC
4,6374F,2,MRSA II SEC INCOMPLET,16.092,KG
5,704034,2,LECITHINE SOJA DESHUILEE/20KG,0.0216,KG
6,801518,2,TWEEN 20/1L,0.1512,L
7,620037,2,SALMON PHOSPHATE TOLUIDIN*,32.4,G
8,800461,2,DIMETHYLSULFOXIDE/1L,0.6696,L
9,800295,2,AZTREONAM/25G,2.16,GAI
10,563250,2,FILTRE MILLIPAK 100-MPGL10CA3,1.0,/PC
11,801554,2,AMPHOTERICINE B/100G,1.512,GAI
12,800422,2,ACIDE DESOXYCHOLIQUE/100G,1.62,G
13,800232,2,COLISTINE SULFATE 19000 UI/MG,3.24,GAI
14,620349,2,DEFER0XAMINE*,12.96,G
15,6374N,2,CEFOTETAN  CTL,0.6264,GAI
16,6374P,2,CEFPODOXIME CTL (soluble eau),0.2592,GAI
17,719014,3,PYRUVATE SODIUM/50KG,0.21241439999999998,KG
18,712014,3,CHLORURE LITHIUM/5KG*,1.0588536,KG
19,701011,3,AGAR ROKO ATFSTD /25KG*,3.1765608,KG
20,716043,3,PEPTONE CASEINE PLUS CAO CVO,1.6944876,KG
21,716009,3,PEPTONE DE SOJA/25KG,0.10620719999999999,KG
22,705004,3,EXTRAIT LEVURE SANS SEL/25KG*,1.0588536,KG
23,705006,3,EXTRAIT VIANDE M1*,1.0588536,KG
24,719000,3,CHLORURE SODIUM/25KG,4.2354144,KG
25,507207,3,SILICE/10KG,3.1765608,KG
26,767004,3,FUTS 100 LITRES      UN,1.0,/PC
27,800294,3,CEFOTETAN DISODIUM STERIL/200G,0.6264,GAI
28,764029,3,F.NAL60ML L.O.TRA.STER CAO-CSO,1.0,/PC
29,764031,3,CAPS.TRANSP.NAL 60 ML L.O CAO,1.0,/PC
30,800902,3,CEFPODOXIME SOLUBLE  EAU/1G,0.2592,GAI
31,620895,4,PEPTONE CASEINE PLUS CAO CVO,1.6944876,KG
32,620899,4,PEPTONE DE SOJA/25KG,0.10620719999999999,KG
33,620893,4,EXTRAIT LEVURE SANS SEL/25KG*,1.0588536,KG
