,item,level,name,quantity,unit
0,216022,1,CHLORURE SODIUM/ (Nacl) 5KG,4.0,KG
1,517368,1,"CAPS 5231307H8-00-B 0,2 MU",1.0,/PC
2,517399,1,"F.NALG.JAUNE 1 L 0,2 MU CAO",1.0,/PC
3,517466,1,SARTOCON SLICE DISPOSABLE 30KD,1.0,/PC
4,581371,1,"CRYOTUBE A AILETTE 1,2ML BX500",15.0,/PC
5,701121,1,SODIUM DIHYDROGENOPHOS/500G,6.0,G
6,704004,1,"PHOSPHATE DISODIUM/2,5KG",7.1,G
7,7201H,1,TAMPON NA/NA2 AZIDE,100.0,L
8,7201J,1,"SOL.HCL.GLYCINE PH 2,2",20.0,L
9,7201S,1,TAMPON TRIS,1000.0,ML
10,7201Y,1,COL.GEL 110-4 SEPH CNBR 30PCY,3.0,PCY
11,800599,1,SULFATE SODIUM ANHYDRE/500G,14.2,G
12,800827,1,FLA.PLAT CULT.CELL.175 CM2,9.0,/PC
13,801015,1,NuPAGE®NOVEX10% Bis-Tris GEL,1.0,/PC
14,239002,1,"HYDROXYDE SODIUM 30%/2,5L",1.0,L
15,259002,1,SODIUM DIHYDROGENOPHO 2H2O/1KG,0.6,KG
16,263022,1,PHOSPHATE DISODIUM 12H2O/5KG,5.6,KG
17,517339,1,CENTRASET.II BLOC CASSET 50KD,1.0,PCY
18,517351,1,CART. PALL  KLEENPAK 0.5µM,2.0,/PC
19,517415,1,FIL.KLEENPAK NOVA PREFLOW/0.2µ,1.0,/PC
20,524004,1,"BOITIER KLEENPACK NOVA 0,45µ",3.0,/PC
21,524005,1,"BOITIER KLEENPACK NOVA 0,5µ",1.0,/PC
22,581392,1,POCHES 200 L. BV  CSO,1.0,/PC
23,704022,1,"APROTININE,BOVINE LANG,SOL CAO",270.0,KUI
24,720027,1,GUANIDINE CHLORHYDRATE/5KG,11899.5,G
25,7203B,1,SOL.AZIDE SODIUM 200G/L,40.5,ML
26,800874,1,PBS 10X/2L,6.0,L
27,5250ASTV,1,POCHE 400L (MIL.INF.VIRALE),1.0,/PC
28,7201V,1,INOCULUM GP160,0.5,L
