,item,level,name,quantity,unit
0,7338A,1,GES ULTRA/PL S.SAC.R1 ET CHINE,5000.0,/PC
1,7361J,1,S.LAV. R2 20X 235ML CHINE CLP#,1000.0,/PC
2,7338B,1,GES ULTRA/CTL NEG R3 ET CHINE,1000.0,/PC
3,7338C,1,GES ULTRA/CTL POS R4 ET CHINE,1000.0,/PC
4,7338D,1,GES ULTRA/CTL POS AG R5 ET CHI,1000.0,/PC
5,7338E,1,GES ULTRA/CJ N°1 R6 ET CHINE,2000.0,/PC
6,7338F,1,GES ULTRA/CJ N°2 R7A ET CHINE,2000.0,/PC
7,7338G,1,GES ULTRA/DIL CJ R7B ET CHINE,2000.0,/PC
8,7337V,1,TP SUBS.R8 WW2 ET-REP CHINE,2000.0,/PC
9,7337T,1,R9 11x  ETIQU CHINE CLP,2000.0,/PC
10,7337Z,1,S.ARRET R10WW2 ET-RP CLP CHINE,3000.0,/PC
11,7338H,1,GES ULTRA/CTL HIV2 R11 CHINE,1000.0,/PC
12,561958,1,ADHESIF UNIT./MICROPL 96TCAO,12000.0,/PC
13,883412,1,PACK BIO-RAD 5PL D=34 UNIC,1000.0,/PC
14,883188,1,ETI BT GES ULTRA 72386-388 CLP,1050.0,/PC
15,883681,1,(NOTICE GENS ULTRA CHINE),1000.0,/PC
16,860209,1,CAISSE QT EXCEPTEE 448X236X291,250.0,/PC
17,864006,1,ET.NEUTRE BLANCHE (70X180),250.0,/PC
18,7201L1H,2,GP 160 PURIFIEE HIV1/2,55.0,MG
19,7203Y,2,ROUGE DE PHENOL SOL.2% FL.5ML,5.0,/PC
20,7248J,2,SOL.STOCK PEPT41-2-1 O4 1MG/ML,2.5,ML
21,7248K,2,SOL.STOCK PEPT.AFR.21 1MG/ML,6.0,ML
22,7354M1H,2,AC PURIF ANTI P25 (25-2) BV,8.5,MG
23,7354P1H,2,AC PURIFIE ANTI P25(25-4) BV,91.0,MG
24,7356D1H,2,GES HIV 86 P24/P26 AC PUR BV,72.5,MG
25,213522,2,CHLORURE POTASSIUM/1KG,45.225,G
26,216022,2,CHLORURE SODIUM/ (Nacl) 5KG,4050.0,G
27,256002,2,POTASSIUM DIHYDROGENOPHOS/1KG,107.10000000000001,G
28,274500,2,SACCHAROSE/25KG,11.25,KG
29,563400,2,MICROTITER PLATE CAO CSO*,5150.0,/PC
30,719531,2,DITHIOTREITOL/5G,5000.0,MG
31,720070,2,CHAPS/10G,1890.0,MG
32,800268,2,AMPHOTERICINE B SOLUBLE/50MG,1.125,GAI
33,800558,2,LAIT ECREME UHT,55.0,L
34,800772,2,UREE/5KG,12.15,KG
35,800972,2,SACHET SILICAGEL  ALLERGOLAM,5150.0,/PC
36,801070,2,EAU PPI/5L CAO,85.0,L
37,704004,2,"PHOSPHATE DISODIUM/2,5KG",322.9,G
38,801518,2,TWEEN 20/1L,225.0,ML
39,801519,2,SODIUM HYDROGENOCARBONATE/5KG,453.6,G
40,801520,2,CARBONATE SODIUM ANHYDRE/5KG,143.1,G
41,800016,2,EAU PPI/1L CAO,2.0,L
42,801952,2,BOB TRIPLEX ALU 96CUP L 240MM,1025.0,M
43,581400,2,POCHE FLEXEL 200L NON STERILE,1.0,/PC
44,251002,2,DIPOTASSIUM HYDROGENOPHOS/1KG,409.5,G
45,7360Z,2,S.LAV. R2 20X VRAC,236.5,L
46,764010,2,FLAC.NAL 250ML TRANSP.N-ST CAO,1030.0,/PC
47,764017,2,CAPS.TRAN/NALG.125-250 ML CAO,1030.0,/PC
48,862210,2,ETIQ.SOL.LAVAGE 20X LOGO CLP,1000.0,/PC
49,7286H,2,GES ULTRA HIV AG CTL- R3 VRAC,6.1,L
50,562139,2,FL.VIS 5ML VN JNE DIN 18 CAO,1030.0,/PC
51,883031,2,ET.FL  20x45mm   GES ULTRA,1050.0,/PC
52,545221,2,CAPS GL18 TEFLON VERT 5V,1030.0,/PC
53,7286J,2,GES ULTRA HIV AG CTL+ R4 VRAC,2.6,L
54,545214,2,CAPS DIN 14 BUTYL TEFLON JAUNE,1000.0,/PC
