,item,level,name,quantity,unit
0,7286A,1,GES ULTRA HIV AG-AG PLAQ.ETIQ.,1250.0,/PC
1,7286B,1,GES ULTRA HIVAG CTL NEG R3 R-E,250.0,/PC
2,7286C,1,GES ULTRA HIVAG CTL POS R4 R-E,250.0,/PC
3,7286D,1,GES ULTRA HIV AG CTL+AG R5 R-E,250.0,/PC
4,7286E,1,GES ULTRA HIVAG CONJ 1  R6 R-E,500.0,/PC
5,7288F,1,GES ULTRA HIVAG CJ2 R7A R-E 5P,500.0,/PC
6,7288G,1,GES ULTRA HIV DL.CJ R7B R-E 5P,500.0,/PC
7,7360G,1,TP SUBS.R8 WW2 ET-REP GEN. CE,500.0,/PC
8,883637,1,NOT.GENSCR ULTRA 72386-388 2L,250.0,/PC
9,883412,1,PACK BIO-RAD 5PL D=34 UNIC,250.0,/PC
10,860209,1,CAISSE QT EXCEPTEE 448X236X291,63.0,/PC
11,864006,1,ET.NEUTRE BLANCHE (70X180),63.0,/PC
12,7201L1H,2,GP 160 PURIFIEE HIV1/2,13.75,MG
13,7203Y,2,ROUGE DE PHENOL SOL.2% FL.5ML,2.0,/PC
14,7248J,2,SOL.STOCK PEPT41-2-1 O4 1MG/ML,0.625,ML
15,7248K,2,SOL.STOCK PEPT.AFR.21 1MG/ML,1.5,ML
16,7354M1H,2,AC PURIF ANTI P25 (25-2) BV,2.125,MG
17,7354P1H,2,AC PURIFIE ANTI P25(25-4) BV,21.375,MG
18,7356D1H,2,GES HIV 86 P24/P26 AC PUR BV,17.5,MG
19,213522,2,CHLORURE POTASSIUM/1KG,11.30625,G
20,216022,2,CHLORURE SODIUM/ (Nacl) 5KG,1012.5,G
21,251002,2,DIPOTASSIUM HYDROGENOPHOS/1KG,102.375,G
22,256002,2,POTASSIUM DIHYDROGENOPHOS/1KG,26.775000000000002,G
23,274500,2,SACCHAROSE/25KG,2.8125,KG
24,563400,2,MICROTITER PLATE CAO CSO*,1288.0,/PC
25,719531,2,DITHIOTREITOL/5G,5000.0,MG
26,720070,2,CHAPS/10G,472.5,MG
27,800268,2,AMPHOTERICINE B SOLUBLE/50MG,0.28125,GAI
28,800558,2,LAIT ECREME UHT,13.75,L
29,800772,2,UREE/5KG,3.0375,KG
30,800972,2,SACHET SILICAGEL  ALLERGOLAM,1288.0,/PC
31,801070,2,EAU PPI/5L CAO,13.75,L
32,704004,2,"PHOSPHATE DISODIUM/2,5KG",80.725,G
33,801518,2,TWEEN 20/1L,56.25,ML
34,801519,2,SODIUM HYDROGENOCARBONATE/5KG,113.4,G
35,801520,2,CARBONATE SODIUM ANHYDRE/5KG,35.775,G
36,800016,2,EAU PPI/1L CAO,2.0,L
37,801952,2,BOB TRIPLEX ALU 96CUP L 240MM,256.25,M
38,581400,2,POCHE FLEXEL 200L NON STERILE,1.0,/PC
39,7292A,2,GES ULTRA HIV AG R3 NEG. VRAC,0.65,L
40,545215,2,CAPS DIN 14 BUTYL TEFLON VERTE,250.0,/PC
41,561989,2,FLA. VIS 3ML VNB DIN 14 CAO,250.0,/PC
42,883031,2,ET.FL  20x45mm   GES ULTRA,250.0,/PC
43,7286J,2,GES ULTRA HIV AG CTL+ R4 VRAC,0.275,L
44,545214,2,CAPS DIN 14 BUTYL TEFLON JAUNE,250.0,/PC
45,561989,2,FLA. VIS 3ML VNB DIN 14 CAO,250.0,/PC
46,883284,2,ETIQ.GES ULTRA 20x45mm XI CLP,263.0,/PC
47,7286K,2,GES ULTRA HIV AG CTL+AG R5 VR,0.275,L
48,545212,2,CAPS DIN 14 BUTYL TEFLON ROUGE,250.0,/PC
49,561989,2,FLA. VIS 3ML VNB DIN 14 CAO,250.0,/PC
50,883284,2,ETIQ.GES ULTRA 20x45mm XI CLP,263.0,/PC
51,7286S,2,GES ULTRA HIV AG VRAC CONJ.N°1,5.25,L
52,764006,2,FLAC.NAL15ML TRAN.STER.CAO-CSO,500.0,/PC
53,764016,2,CAPS.TRA/NALG.8-15-30-60ML CAO,500.0,/PC
54,883118,2,ETI.GES ULTRA 30x50mm XI CLP,525.0,/PC
55,7286T,2,GES ULTRA HIVAG-AC VR CONJ.N°2,1.5,L
56,866028,2,BOUCH.LYO.VIS ROUGE Ø18MM 1008,500.0,/PC
57,545300,2,CAPSULE DIN 18 JOINT TEFLON,500.0,/PC
58,561986,2,FL.VIS 35 ML VN JN DIN 18 CAO,500.0,/PC
59,883118,2,ETI.GES ULTRA 30x50mm XI CLP,525.0,/PC
60,7286U,2,GES ULTRA HIVAG-AC VR DIL.CONJ,15.25,L
61,764007,2,FLAC.NALG30ML TRAN.STE.CAO-CSO,500.0,/PC
62,764016,2,CAPS.TRA/NALG.8-15-30-60ML CAO,500.0,/PC
63,883118,2,ETI.GES ULTRA 30x50mm XI CLP,525.0,/PC
64,7114X,2,TP SUBSTRAT WW2 / TMB VRAC,31.5,L
65,764008,2,FLAC.NAL 60ML OPAQ N-STE  CAO,515.0,/PC
66,764018,2,CAPS.OPA NALGE 60ML OPAQ. CAO,515.0,/PC
67,883003,2,ET. CE TP.SUBST.TMB 60ML  R8,525.0,/PC
68,7201L,3,"Purified Recombinant Protein,",13.75,MG
69,7203V,3,SOL.ROUGE DE PHENOL A 20P 1000,0.0124,L
70,545300,3,CAPSULE DIN 18 JOINT TEFLON,3.0,/PC
71,562139,3,FL.VIS 5ML VN JNE DIN 18 CAO,3.0,/PC
72,716044,3,PEPTIDE 41 2 1 OH,0.625,MG
73,800016,3,EAU PPI/1L CAO,0.000625,L
74,701073,3,PEPTIDE AFR 21 K,1.5,MG
