,item,level,name,quantity,unit
0,7286A,1,GES ULTRA HIV AG-AG PLAQ.ETIQ.,10000.0,/PC
1,7361E,1,S.LAV. R2 20X 235ML LOGO CPL,2000.0,/PC
2,7288T,1,G.ULTRA HIV NEG R3 RUSS ETI,2000.0,/PC
3,7288U,1,G.ULTRA HIV POS R4 RUSSIE,2000.0,/PC
4,7288V,1,G.ULTRA HIV AG R5 RUS. R-E,2000.0,/PC
5,7286E,1,GES ULTRA HIVAG CONJ 1  R6 R-E,4000.0,/PC
6,7288F,1,GES ULTRA HIVAG CJ2 R7A R-E 5P,4000.0,/PC
7,7288G,1,GES ULTRA HIV DL.CJ R7B R-E 5P,4000.0,/PC
8,7360G,1,TP SUBS.R8 WW2 ET-REP GEN. CE,4000.0,/PC
9,7436L,1,CHROM.R9 WW3 ETIQ-REP CLP,4000.0,/PC
10,7361H,1,S.ARRET R10WW2 ETIQ LOGO CLP,6000.0,/PC
11,883412,1,PACK BIO-RAD 5PL D=34 UNIC,2000.0,/PC
12,883188,1,ETI BT GES ULTRA 72386-388 CLP,2100.0,/PC
13,860209,1,CAISSE QT EXCEPTEE 448X236X291,500.0,/PC
14,864006,1,ET.NEUTRE BLANCHE (70X180),500.0,/PC
15,561958,1,ADHESIF UNIT./MICROPL 96TCAO,24000.0,/PC
16,883577,1,(NOT GENSCREEN ULTRA RUSSIE),2000.0,/PC
17,7201L1H,2,GP 160 PURIFIEE HIV1/2,110.0,MG
18,7203Y,2,ROUGE DE PHENOL SOL.2% FL.5ML,10.0,/PC
19,7248J,2,SOL.STOCK PEPT41-2-1 O4 1MG/ML,5.0,ML
20,7248K,2,SOL.STOCK PEPT.AFR.21 1MG/ML,12.0,ML
21,7354M1H,2,AC PURIF ANTI P25 (25-2) BV,17.0,MG
22,7354P1H,2,AC PURIFIE ANTI P25(25-4) BV,171.0,MG
23,7356D1H,2,GES HIV 86 P24/P26 AC PUR BV,140.0,MG
24,213522,2,CHLORURE POTASSIUM/1KG,90.45,G
25,216022,2,CHLORURE SODIUM/ (Nacl) 5KG,8100.0,G
26,251002,2,DIPOTASSIUM HYDROGENOPHOS/1KG,819.0,G
27,256002,2,POTASSIUM DIHYDROGENOPHOS/1KG,214.20000000000002,G
28,274500,2,SACCHAROSE/25KG,22.5,KG
29,563400,2,MICROTITER PLATE CAO CSO*,10300.0,/PC
30,719531,2,DITHIOTREITOL/5G,5000.0,MG
31,720070,2,CHAPS/10G,3780.0,MG
32,800268,2,AMPHOTERICINE B SOLUBLE/50MG,2.25,GAI
33,800558,2,LAIT ECREME UHT,110.0,L
34,800772,2,UREE/5KG,24.3,KG
35,800972,2,SACHET SILICAGEL  ALLERGOLAM,10300.0,/PC
36,801070,2,EAU PPI/5L CAO,110.0,L
37,704004,2,"PHOSPHATE DISODIUM/2,5KG",645.8,G
38,801518,2,TWEEN 20/1L,450.0,ML
39,801519,2,SODIUM HYDROGENOCARBONATE/5KG,907.2,G
40,801520,2,CARBONATE SODIUM ANHYDRE/5KG,286.2,G
41,800016,2,EAU PPI/1L CAO,2.0,L
42,801952,2,BOB TRIPLEX ALU 96CUP L 240MM,2050.0,M
43,581400,2,POCHE FLEXEL 200L NON STERILE,1.0,/PC
44,7360Z,2,S.LAV. R2 20X VRAC,470.0,L
45,764010,2,FLAC.NAL 250ML TRANSP.N-ST CAO,2060.0,/PC
46,764017,2,CAPS.TRAN/NALG.125-250 ML CAO,2060.0,/PC
47,862210,2,ETIQ.SOL.LAVAGE 20X LOGO CLP,2100.0,/PC
48,7292A,2,GES ULTRA HIV AG R3 NEG. VRAC,12.2,L
49,545221,2,CAPS GL18 TEFLON VERT 5V,2060.0,/PC
50,562139,2,FL.VIS 5ML VN JNE DIN 18 CAO,2060.0,/PC
51,883031,2,ET.FL  20x45mm   GES ULTRA,2100.0,/PC
