components,level,total_hours
72386,1,0.0
72386,1,4.621499999999999
72386,1,0.6659999999999999
72386,1,4.0
72386,1,0.0
7286A,2,0.01
7286A,2,16.0
7286A,2,1.508
7286A,2,2.525
7286A,2,44.5
7286A,2,185.15
7286A,2,0.0
7361A,2,1.0055
7361A,2,57.5
7286B,2,0.00417
7286B,2,1.0037
7286B,2,1.0018500000000001
7286B,2,58.3
7286C,2,0.00417
7286C,2,1.0037
7286C,2,1.0018500000000001
7286C,2,58.3
7286D,2,0.00417
7286D,2,1.0037
7286D,2,1.0018500000000001
7286D,2,58.3
7286E,2,0.00417
7286E,2,1.00385
7286E,2,0.6698499999999998
7286E,2,58.3
7286F,2,0.17250000000000001
7286F,2,0.51
7286F,2,48.0
7286F,2,0.011
7286F,2,0.5072000000000001
7286F,2,58.3
7286G,2,0.00417
7286G,2,1.01087
7286G,2,0.6698499999999998
7286G,2,58.3
7360G,2,1.0055
7360G,2,60.0
7436L,2,1.0055
7436L,2,60.0
7361H,2,1.0055
7361H,2,218.0
7201L1H,3,12.0
7201L1H,3,0.0
7203Y,3,0.00417
7203Y,3,1.00385
7203Y,3,0.6698499999999998
7248J,3,1.0
7248J,3,8.0
7248K,3,1.0
7248K,3,8.0
7354M1H,3,16.0
7354M1H,3,0.0
7354P1H,3,16.0
7354P1H,3,0.0
7356D1H,3,16.0
7356D1H,3,0.0
7360Z,3,13.665999999999999
7292A,3,4.0
7292A,3,245.0
7286J,3,2.0
7286J,3,165.0
7286K,3,2.0
7286K,3,165.0
7286S,3,16.0
7286S,3,165.0
7286T,3,10.0
7286T,3,165.0
7286U,3,16.0
7286U,3,165.0
7114X,3,4.5
7114X,3,0.0
7114X,3,4.5
7114X,3,0.0
7114V,3,2.0
7114V,3,2.0
7114Z,3,3.3339999999999996
7114Z,3,3.3339999999999996
7201L,4,249.0
7201L,4,117.6
7201L,4,115.92
7201L,4,141.96
7201L,4,18.060000000000002
7201L,4,41.0
7201L,4,38.0
7201L,4,130.0
7201L,4,105.0
7203V,4,2.0
7354M,4,12.0
7354M,4,67.2
7354M,4,72.1
7354M,4,35.0
7354P,4,12.0
7354P,4,67.2
7354P,4,72.1
7354P,4,35.0
7356D,4,12.0
7356D,4,67.2
7356D,4,72.1
7356D,4,35.0
7286Z,4,23.0
7286Z,4,6.0
7292B,4,5.0
7176X,4,6.0
7176X,4,6.0
7434T,4,5.0
7434T,4,5.0
7286L,4,4.0
7286L,4,6.0
7210P,4,0.6659999999999999
7286P,4,6.0
7286P,4,14.0
7286P,4,6.0
7286P,4,1.0
7286P,4,0.0
7179Q,4,4.0
7179Q,4,16.0
7179Q,4,5.0
7179Q,4,1.0
7179Q,4,0.0
7208A,4,0.6659999999999999
7246Z,4,4.0
7246Z,4,16.0
7246Z,4,5.0
7246Z,4,1.0
7246Z,4,0.0
7286M,4,8.0
7286M,4,36.0
7286M,4,16.0
7286M,4,1.0
7286M,4,0.0
7286N,4,4.0
7286N,4,16.0
7286N,4,5.0
7286N,4,1.0
7286N,4,0.0
7210P,4,0.6659999999999999
7221A,4,41.5
7434V,4,4.0
7434V,4,122.0
7201H,5,8.47
7201J,5,7.98
7201S,5,7.49
7201Y,5,23.975
7201Y,5,21.525
7201Y,5,35.0
7201Y,5,23.975
7201Y,5,21.525
7201Y,5,35.0
7203B,5,1.5
5250ASTV,5,32.596999999999994
7201V,5,158.2
7201V,5,79.1
7201V,5,35.0
5250CSTV,5,33.623999999999995
5250CSTV,5,33.623999999999995
5250CSTV,5,33.623999999999995
5250BSTV,5,31.569999999999997
5250BSTV,5,31.569999999999997
5261C,5,1.5
5261C,5,1.0
5261C,5,0.0
4160W,5,680.0
5956B,5,107.0
5956B,5,109.2221238938053
5956B,5,140.31017699115046
5956B,5,36.0
5956B,5,22.0
5956B,5,71.0
7355E,5,1.0
5201A,5,2.0
5201A,5,2.0
5201A,5,2.0
5201T,5,1.0
5201T,5,1.0
5201T,5,1.0
5201C,5,1.0
5201C,5,1.0
5201C,5,1.0
5201U,5,1.0
5201U,5,1.0
5201U,5,1.0
5956D,5,107.0
5956D,5,109.21666666666667
5956D,5,140.29533333333333
5956D,5,36.0
5956D,5,22.0
5956D,5,71.0
7355E,5,1.0
5201A,5,2.0
5201A,5,2.0
5201A,5,2.0
5201T,5,1.0
5201T,5,1.0
5201T,5,1.0
5201C,5,1.0
5201C,5,1.0
5201C,5,1.0
5201U,5,1.0
5201U,5,1.0
5201U,5,1.0
5956L,5,107.0
5956L,5,109.21470588235294
5956L,5,140.27941176470588
5956L,5,36.0
5956L,5,22.0
5956L,5,71.0
7355E,5,1.0
5201A,5,2.0
5201A,5,2.0
5201A,5,2.0
5201T,5,1.0
5201T,5,1.0
5201T,5,1.0
5201C,5,1.0
5201C,5,1.0
5201C,5,1.0
5201U,5,1.0
5201U,5,1.0
5201U,5,1.0
7203B,5,1.5
7203B,5,1.5
7214D,5,2.0
7214C,5,2.0
7208A,5,0.6659999999999999
8624W,5,37.0
8624W,5,6.0
7214D,5,2.0
7214C,5,2.0
7208A,5,0.6659999999999999
7214D,5,2.0
7214C,5,2.0
7208A,5,0.6659999999999999
7222T1H,5,12.0
7222T1H,5,0.0
7434T,5,5.0
7177T,5,44.0
7121Q1H,5,210.0
7771T,5,67.0
7177M,5,14.0
7177M,5,24.0
7177M,5,1.0
7177M,5,0.0
7177L,5,42.0
7177U,5,42.0
7771P,5,67.0
7771Q,5,67.0
7177M,5,14.0
7177M,5,24.0
7177M,5,1.0
7177M,5,0.0
7177L,5,42.0
7177U,5,42.0
7771K,5,67.0
7177T,5,44.0
7771X,5,69.0
7771Y,5,69.0
7177M,5,14.0
7177M,5,24.0
7177M,5,1.0
