,item,level,name,quantity,unit
0,7242Y,1,MEMBRANE S2 LAMINEE,9.7,M
1,7241V,1,MEMBRANE S1 LAMINEE,6.3,M
2,801961,1,BOB.TRIPLEXE ALU 6CUP. L 140MM,150.0,M
3,801485,1,PILLOW PACK DESSICANT ROULEAU,1000.0,/PC
4,563402,1,CASSETTE GEENIUS (FOND),1000.0,/PC
5,563403,1,CASSETTE GEENIUS (COUVERCLE),1000.0,/PC
6,7242W,2,MEMBRANE TEST COATEE,9.7,M
7,7242N,2,PAD CONJUGUE GEENIUS HIV 1/2,9.7,M
8,801440,2,POLYSTYREN ROLL WITH LINER CAO,1.0,/PC
9,801443,2,AP110 ABSORBANT PAD (23X300MM),33.0,/PC
10,801442,2,FIBER COMPOSITE GRADE 1278 CAO,1.0,/PC
11,800016,2,EAU PPI/1L CAO,1.0,L
12,883105,2,ETIQ PP BLANCHE (25 x 35),1083.0,/PC
13,801485,2,PILLOW PACK DESSICANT ROULEAU,855.0,/PC
14,500006,2,ETHANOL ABSOLU/10L,0.0034035087719298243,L
15,801438,2,POLYESTER LAMINATE LINER CAO,6.237,M
16,801437,2,PRIMA 40 MEMBRANE 50M,6.3,M
17,800016,2,EAU PPI/1L CAO,1.0,L
18,801439,2,COTON FIBER PAPER-GRADE601 CAO,1.0,/PC
19,801485,2,PILLOW PACK DESSICANT ROULEAU,900.0,/PC
20,801441,3,MEMBRANE 50MM WIDTH CAO,1.0,/PC
21,7210P,3,SOLUTION SOUDE 6N (AJUST PH),2.0,ML
22,800016,3,EAU PPI/1L CAO,3.0,L
23,7208A,3,SOLUTION D'HCL 6N (AJUST PH),2.0,ML
24,704004,3,"PHOSPHATE DISODIUM/2,5KG",0.001,KG
25,701121,3,SODIUM DIHYDROGENOPHOS/500G,0.001587589928057554,G
26,213522,3,CHLORURE POTASSIUM/1KG,0.001,KG
27,801029,3,BLEU PATENTE V,5.427464028776979,MG
28,7241B,3,PEPTIDE CARRIER HIV2 GP36-BSA,0.12124999999999998,MG
29,7241N,3,PEPTIDE CARRIER GP105-L2-BSA,0.48499999999999993,MG
30,7201T,3,GP 160 PURIFIEE HIV1/2 GEENIUS,0.291,MG
31,7223Z1M,3,PROTEINE PURIF GST X P25 ctlé,1.164,MG
32,7241J,3,PEPTIDE CARRIER AFR21-BSA,0.24249999999999997,MG
33,7241K,3,PEPTIDE CARRIER 39PFN-BSA,0.9699999999999999,MG
34,7241Y,3,SOLUTION STOCK PROTEINE A,0.0016050359712230216,ML
35,7241M,3,PEPTIDE CARRIER P34-BSA,0.48499999999999993,MG
36,7239W,3,PEPTIDE CARRIER GP105-L8-BSA,0.48499999999999993,MG
37,7239P,3,PEPTIDE CARRIER GP36E2-BSA,0.48499999999999993,MG
38,801485,3,PILLOW PACK DESSICANT ROULEAU,10.0,/PC
39,216022,3,CHLORURE SODIUM/ (Nacl) 5KG,5.233812949640287e-05,KG
40,7242M,3,PAD CONJUGUE BLOCKE,9.7,M
41,7242K,3,PROTEINE A-GOLD GEENIUS HIV1/2,10.62344,ML
42,801454,3,POLYVINIL ALCOHOL  500G  CAO,2.8,G
43,701131,3,TRIS-AMINOMETHANE,6.1,G
44,701119,3,ALBUMINE BOVINE DIAG GRAD/5KG*,1.0,G
45,216022,3,CHLORURE SODIUM/ (Nacl) 5KG,0.01,KG
46,274500,3,SACCHAROSE/25KG,0.3,KG
47,801518,3,TWEEN 20/1L,0.002,L
48,764035,3,FL NALGENE 250ML CARRE STERILE,1.0,/PC
49,801485,3,PILLOW PACK DESSICANT ROULEAU,276.0,/PC
50,800016,3,EAU PPI/1L CAO,0.017023499999999997,L
51,239002,4,"HYDROXYDE SODIUM 30%/2,5L",0.0012,L
52,801070,4,EAU PPI/5L CAO,0.001,L
53,800542,4,"A CHLORHYDRIQUE FUMANT/2,5L",0.001,L
54,7177J,4,"TP PBS 50MM PH=7,4 PPI",0.030312499999999996,L
55,720100,4,BS3/1G,0.00014549999999999996,G
56,800398,4,L LYSINE MONOCHLORHYDRATE/5KG,0.6,G
57,701119,4,ALBUMINE BOVINE DIAG GRAD/5KG*,0.00014549999999999996,G
58,707053,4,PEPTIDE HIV2 GP36 CAO 25mg,0.06062499999999999,MG
59,7177S,4,"TP PBS 50MM PH=6,5",0.004849999999999999,L
60,7177J,4,"TP PBS 50MM PH=7,4 PPI",0.038799999999999994,L
61,701300,4,SULFO SMCC/50MG,7.274999999999998e-05,G
62,701119,4,ALBUMINE BOVINE DIAG GRAD/5KG*,0.0006305,G
63,707054,4,PEPTIDE HIV2 GP105 CAO 50mg,0.20156599999999997,MG
64,800513,4,L CYSTEINE/100G,0.15,G
65,3335C,4,SOLUTION DTNB,0.6,ML
66,704028,4,SEPHADEX G25 MEDIUM/500G,0.12124999999999998,G
67,7201L1H,4,GP 160 PURIFIEE HIV1/2,0.291,MG
68,7223Z,4,PROTEINE PURIFIE GST X P25,1.164,MG
69,7177J,4,"TP PBS 50MM PH=7,4 PPI",0.06668749999999998,L
70,720100,4,BS3/1G,0.00019399999999999997,G
71,704028,4,SEPHADEX G25 MEDIUM/500G,0.1273125,G
72,800398,4,L LYSINE MONOCHLORHYDRATE/5KG,0.55,G
73,701119,4,ALBUMINE BOVINE DIAG GRAD/5KG*,0.00036375,G
74,701073,4,PEPTIDE AFR 21 K,0.08487499999999999,MG
75,7177J,4,"TP PBS 50MM PH=7,4 PPI",0.09699999999999999,L
76,720100,4,BS3/1G,0.0006789999999999998,G
77,704028,4,SEPHADEX G25 MEDIUM/500G,0.24249999999999997,G
78,701119,4,ALBUMINE BOVINE DIAG GRAD/5KG*,0.0017459999999999997,G
79,707051,4,PEPTIDE gp41 (39pfn) CAO 50mg,0.33949999999999997,MG
80,800398,4,L LYSINE MONOCHLORHYDRATE/5KG,0.27,G
81,801435,4,PROTEIN A FLC 25MG CAO,0.00024075539568345326,MG
82,704004,4,"PHOSPHATE DISODIUM/2,5KG",1.6050359712230217e-07,KG
83,517368,4,"CAPS 5231307H8-00-B 0,2 MU",1.0,/PC
84,820579,4,PHOSPHATE SODIUM 1H2O/1KG,0.001,KG
85,7203B,4,SOL.AZIDE SODIUM 200G/L,1.6852877697841727e-05,ML
86,216022,4,CHLORURE SODIUM/ (Nacl) 5KG,0.001,KG
87,800016,4,EAU PPI/1L CAO,1.6050359712230217e-06,L
88,7177J,4,"TP PBS 50MM PH=7,4 PPI",0.08487499999999999,L
89,701300,4,SULFO SMCC/50MG,0.06062499999999999,MG
90,704028,4,SEPHADEX G25 MEDIUM/500G,0.16684,G
91,800513,4,L CYSTEINE/100G,0.15,G
92,701119,4,ALBUMINE BOVINE DIAG GRAD/5KG*,0.0006305,G
93,707052,4,PEPTIDE HIV1 P34 CAO 50mg,0.22649499999999997,MG
94,7177S,4,"TP PBS 50MM PH=6,5",0.006062499999999999,L
95,707037,4,TCEP,4.849999999999999e-05,G
96,800454,4,DIMETHYLFORMAMIDE/1L,0.006999999999999999,L
97,3335C,4,SOLUTION DTNB,0.6,ML
98,7177J,4,"TP PBS 50MM PH=7,4 PPI",0.038799999999999994,L
99,7177S,4,"TP PBS 50MM PH=6,5",0.012124999999999999,L
100,701300,4,SULFO SMCC/50MG,0.12124999999999998,MG
101,800513,4,L CYSTEINE/100G,0.15,G
102,701119,4,ALBUMINE BOVINE DIAG GRAD/5KG*,0.0006789999999999998,G
103,707056,4,PEPTIDE GP105L8  CAO 150mg,0.24249999999999997,MG
104,3335C,4,SOLUTION DTNB,0.6,ML
105,704028,4,SEPHADEX G25 MEDIUM/500G,0.12124999999999998,G
106,7177J,4,"TP PBS 50MM PH=7,4 PPI",0.10281999999999998,L
